公交 公交站点一览表|||||||
"线路
名称"|起点名称|讫点名称|起点时间||讫点时间||途经站点
|||首班|末班|首班|末班|
71|奔腾公交首末站|阳光花园|5:45|18:50|6:30|19:20|祥和四季花园，华厦水云间，华厦集团，马场村，鼓楼区政府，港南小区（二环路），建材中专，地质五队宿舍，堤北，市三院，烟厂，徐州站（朝阳），徐州站（蓝天），天桥，上海路局徐州办事处，徐医附三院，骆驼山桥，强华骨科医院，楚王陵，君悦园（单），阳光花园（单），狮子山小区（单），民祥园（单），民富园（单），民富园西门（单），三环路口（单）
72|铜山新区总站|徐州东站|6:00|18:50|5:55|19:10|铜山区政府,康乐园,铜山中医院,新区国税局,新区邮电局,师范学校,师大新校,文沃市场,风华南苑,风华园,矿业大学,侯山窝,奎园西门,奎园北门,农副产品市场,陶瓷市场,汽车南站,汽车南站东门,汽配城,机场路口,郭庄路口,三环路口,民富园西门,民富园,铁路民祥园，绿地世纪城西,万达广场，云龙区政府,和平路东口,翠屏山办事处,振兴大道路口
74|公交修造厂|淮东家具城|5:50|18:50|6:25|19:20|湖滨新村西，段南新村，小康人家，矿山加油站，民安园，水漫桥，沈场市场，合群新村，合群桥，黄河新村，北关游泳池，庆云桥，北路口，后勤学院，港南小区，建材中专，地质五队宿舍，堤北农贸市场，电力医院，王场新村北门，王场新村，钟山机动车检测中心，八里屯
75|纺南小区西门|新建北村|6:00|19:00|6:20|19:30|纺南小区北门（路东，单），翠湖御景（路西，单），体育中心（路北，单）,矿总医院,吴庄花园,吴庄小区,泉山医院，银湖小区东,云龙公园南门,中医院,中山饭店,中央百大,万虹桥电子市场（文化宫）,徐州站（朝阳）,四道街 
76|公交修造厂|圆梦花园|5:50|21:00|6:20|21:00|子房山,子房小区,地下道,,四道街,烟厂,市三院,爱牙医院,民主路小学,牌楼,金地商都,浦发银行,市二院,市二院西门,永安广场,工院永安校区,大福源超市,建国路西口,湖滨路口,湖滨新村,段南新村 
82|西苑西口|居乐园|6:10|19:00|6:10|19:00|民乐园,西苑小区,民和园,出入境办理中心,小康人家,段南新村,湖滨新村,湖滨路口,纺南小区北门,矿总医院,吴庄花园,血液中心,银湖小区东,云龙山隧道,彭园西门,泉山检察院,文化城,泰山西坡,营房西门,金泰小区,金山花园,森林公园东门,招呼站，建筑学院西门,泉山营房,黄河路口,海宁皮草城,铜山区政府,铜山教育局,康乐园,铜山中医院（路北，单）,新区国税局（路北,单）,公寓南门（路南，单）
90|徐州东站|惠民小区|7:00|18:00|7:00|18:00|美的城,科技大厦南门，徐州奥体中心，中心医院，人才家园小区（单），元和路，行政中心西门，吉田广场，报业传媒集团，雍景新城，楚韵路口，惠民小区
91|工程学院|彭城饭店（银座）|6:10|21:10|6:55|21:40|市民广场,行政中心西门,秦郡路,大龙湖,彭祖大道,拖龙山公园,淮海食品城,迎宾大道（路南，单），淮海文博园（食品城）,汽车南站,陶瓷市场,农副产品市场，淮塔东路,积水坝,和平桥,宣武市场南门,宣武市场,民主南路,公园巷小学,青年路小学
92|人才家园公交首末站|徐州站|5:50|18:10|6:30|18:50|明正路，元和路，行政中心，秦郡路，大龙湖，彭祖大道，拖龙山公园，淮海食品城，迎宾大道（路南，单），淮海文博园（食品城），汽车南站东门，汽配城，机场路口，楚王陵，强华骨科医院，骆驼山桥，徐医附三院，上海路局徐州办事处，天桥
93|人才家园公交首末站|徐工科技|6:00|18:00|6:30|18:30|明正路,元和路,行政中心,秦郡路,大龙湖,彭祖大道,拖龙山公园,淮海食品城,迎宾大道（路南，单），淮海文博园（食品城）,汽车南站东门,汽配城,机场路口,郭庄路口,三环路口,民富园西门,民富园,铁路民祥园,绿地世纪城西,民祥园农贸市场,黄山新村东,东甸子,东方人民医院,医学院,宗申产业园,城置国际花园城,蟠桃花园二村,蟠桃花园,金山桥公交停车场,碧螺山庄东门,金山桥大厦东,招呼站
95|工程学院|铜山区政府|6:20|18:00|6:50|18:40|工程学院,市民广场,行政中心西门,秦郡路,大龙湖,彭祖大道,拖龙山公园,淮海食品城,迎宾大道（路南，单）,御景湾小区,工院新校，工程学院（三环南路）,矿大南门,翟山,翟山市场,铜山中学,建筑学院（上海路口），师大新校,新区邮电局（上海路）,铜山中医院,康乐园,铜山教育局（路北，单）,铜山区行政服务中心,铜山区政府
96|刘湾|东区公交首末站|6:30|18:00|7:10|18:40|刘湾村南,金山桥大市场,三利铝业,长江生物公司,公交首末站,装载机厂, 徐工科技,招呼站,金山桥大厦东（招呼站）,桃园,仁慈医院,蟠桃五村,蟠桃二期,城置国际花园城,君廷湖畔,科技大厦
97|工程学院|中山堂|6:30|18:00|7:00|19:10|工程学院南门，南刘庄，茶庵小区，茶庵小区A区，碧桂园，撷秀中学，雍景新城，国信龙湖世家，市行政服务中心，绿地商务城，市中心医院（新城区分院），徐州奥体中心，绿地工润和平壹号，五期经适房，金洋紫金东郡，云龙万达广场，绿地世纪城西，绿地世纪城，康馨园，阳光花园，君悦园，楚王陵，强华骨科医院，骆驼山桥，徐医附三院，袁桥，恩华大厦，民主南路，文化宫，第三中学（单），创意68产业园（单）
105|新台子|宣武市场|6:00|19:00|6:30|19:00|"李沃,李沃医院,铝厂,金马路路口,荆南小区,华厦集团,马场村,鼓楼区政府,后勤学院,北路口,市一院,中央百大,市交通银行,中国人寿北,中国人寿（路东，单），戏马台（路东，单），妇幼保健院（路北，单），恩华大厦（路西，单）,宣武市场（丰储街，路西，单） 
"
